,logistics,_id,area,weight,fee,time
0,中通,75822017440866,北京,1.0,2.8,2021-11-01
1,中通,75822149613573,北京,1.0,2.8,2021-11-01
2,中通,75821904024987,北京,1.0,2.8,2021-11-01
3,中通,75821852508548,北京,1.0,2.8,2021-11-01
4,中通,75822658058790,北京,1.76,3.0,2021-11-01
5,中通,75822658500490,山西,1.92,3.0,2021-11-01
6,中通,75822658500459,河北,1.73,2.8,2021-11-01
7,中通,75822657172032,北京,1.82,3.0,2021-11-01
8,中通,75822658434862,山西,1.81,3.0,2021-11-01
9,中通,75822658064686,河北,1.78,2.8,2021-11-01
10,中通,75822657995984,河北,1.72,2.8,2021-11-01
11,中通,75822658064658,北京,1.86,3.0,2021-11-01
12,中通,75822658438508,北京,1.85,3.0,2021-11-01
13,中通,75822658070133,天津,1.86,3.0,2021-11-01
14,中通,75822658503871,山西,0.8,2.5,2021-11-01
15,中通,75822658376410,河北,1.91,2.8,2021-11-01
16,中通,75822658438564,河北,1.79,2.8,2021-11-01
17,中通,75822658723017,河北,1.87,2.8,2021-11-01
18,中通,75822658438498,天津,1.86,3.0,2021-11-01
19,中通,75822657169372,北京,1.86,3.0,2021-11-01
20,中通,75822657219946,河北,0.77,2.5,2021-11-01
21,中通,75822658503956,天津,1.78,3.0,2021-11-01
22,中通,75822658064620,河北,1.75,2.8,2021-11-01
23,中通,75822656782926,河北,0.78,2.5,2021-11-01
24,中通,75822658811396,北京,0.5,2.8,2021-11-01
25,中通,75822658367511,山西,1.84,3.0,2021-11-01
26,中通,75822657363390,北京,0.74,2.8,2021-11-01
27,中通,75822657996016,河北,0.73,2.5,2021-11-01
28,中通,75822658438996,河北,0.76,2.5,2021-11-01
29,中通,75822657310367,河北,1.8,2.8,2021-11-01
30,中通,75822656611323,山西,0.73,2.5,2021-11-01
31,中通,75822658445827,河北,0.78,2.5,2021-11-01
32,中通,75822658367509,天津,1.81,3.0,2021-11-01
33,中通,75822658817677,山西,0.78,2.5,2021-11-01
34,中通,75822658079832,山西,0.78,2.5,2021-11-01
35,中通,75822658058761,河北,0.81,2.5,2021-11-01
36,中通,75822657079555,北京,0.5,2.8,2021-11-01
37,中通,75822656714149,北京,0.5,2.8,2021-11-01
38,中通,75822658722952,山西,0.81,2.5,2021-11-01
39,中通,75822658503869,北京,0.78,2.8,2021-11-01
40,中通,75822658811439,山西,0.83,2.5,2021-11-01
41,中通,75822658725296,河北,1.29,2.8,2021-11-01
42,中通,75822658000007,北京,1.29,3.0,2021-11-01
43,中通,75822657373437,天津,1.85,3.0,2021-11-01
44,中通,75822658592915,河北,1.3,2.8,2021-11-01
45,中通,75822657156971,天津,1.83,3.0,2021-11-01
46,中通,75822656919498,山西,1.84,3.0,2021-11-01
47,中通,75822656700336,河北,1.79,2.8,2021-11-01
48,中通,75822657373452,山西,1.84,3.0,2021-11-01
49,中通,75822657289450,河北,0.86,2.5,2021-11-01
50,中通,75822656700292,北京,0.5,2.8,2021-11-01
51,中通,75822656904140,山西,0.78,2.5,2021-11-01
52,中通,75822657155337,天津,0.78,2.5,2021-11-01
53,中通,75822658587806,河北,0.66,2.5,2021-11-01
54,中通,75822657210538,北京,0.5,2.8,2021-11-01
55,中通,75822658434906,河北,1.65,2.8,2021-11-01
56,中通,75822657374010,北京,0.84,2.8,2021-11-01
57,中通,75822656613168,天津,0.77,2.5,2021-11-01
58,中通,75505953116452,北京,0.5,2.8,2021-11-01
59,中通,75822658520748,山西,0.76,2.5,2021-11-01
60,中通,75822658455377,天津,0.82,2.5,2021-11-01
61,中通,75822656611316,山西,0.78,2.5,2021-11-01
62,中通,75822656790702,北京,0.5,2.8,2021-11-01
63,中通,75822657157049,北京,0.89,2.8,2021-11-01
64,中通,75822656719352,北京,1.87,3.0,2021-11-01
65,中通,75822657143787,河北,0.68,2.5,2021-11-01
66,中通,75822657080159,北京,0.77,2.8,2021-11-01
67,中通,75822657169436,北京,0.5,2.8,2021-11-01
68,中通,75822656615423,北京,0.77,2.8,2021-11-01
69,中通,75822656852740,河北,0.76,2.5,2021-11-01
70,中通,75822658502742,山西,0.69,2.5,2021-11-01
71,中通,75822658435445,河北,0.8,2.5,2021-11-01
72,中通,75822658599629,北京,0.76,2.8,2021-11-01
73,中通,75822658078744,河北,0.81,2.5,2021-11-01
74,中通,75822658356478,河北,0.77,2.5,2021-11-01
75,中通,75822658582255,河北,0.5,2.5,2021-11-01
76,中通,75822658361207,河北,0.82,2.5,2021-11-01
77,中通,75822658509349,山西,0.8,2.5,2021-11-01
78,中通,75822658509323,河北,1.33,2.8,2021-11-01
79,中通,75822658434896,河北,1.34,2.8,2021-11-01
80,中通,75822658064709,山西,1.32,3.0,2021-11-01
81,中通,75822658219718,天津,1.32,3.0,2021-11-01
82,中通,75822658507936,天津,1.32,3.0,2021-11-01
83,中通,75822658732262,河北,1.3,2.8,2021-11-01
84,中通,75822658814387,北京,1.31,3.0,2021-11-01
85,中通,75822658439387,河北,1.17,2.8,2021-11-01
86,中通,75822656615451,河北,1.32,2.8,2021-11-01
87,中通,75822658746678,河北,1.26,2.8,2021-11-01
88,中通,75822656622344,北京,1.3,3.0,2021-11-01
89,中通,75822658237198,河北,1.3,2.8,2021-11-01
90,中通,75822656622357,河北,1.25,2.8,2021-11-01
91,中通,75822658381698,山西,1.22,3.0,2021-11-01
92,中通,75822658076144,北京,1.33,3.0,2021-11-01
93,中通,75822656476105,天津,1.3,3.0,2021-11-01
94,中通,75822658449238,河北,1.33,2.8,2021-11-01
95,中通,75822656397791,河北,1.34,2.8,2021-11-01
96,中通,75822658449200,河北,1.34,2.8,2021-11-01
97,中通,75822658361210,北京,1.27,3.0,2021-11-01
98,中通,75822657360638,北京,0.5,2.8,2021-11-01
99,中通,75822658359862,河北,1.29,2.8,2021-11-01
100,中通,75822658505397,北京,1.32,3.0,2021-11-01
101,中通,75822658078757,山西,0.75,2.5,2021-11-01
102,中通,75822656609113,河北,0.81,2.5,2021-11-01
103,中通,75822657084989,河北,0.5,2.5,2021-11-01
104,中通,75822656622385,北京,0.5,2.8,2021-11-01
105,中通,75822658454049,河北,0.76,2.5,2021-11-01
106,中通,75822657081752,北京,0.5,2.8,2021-11-01
107,中通,75822657520325,内蒙古,0.82,2.5,2021-11-01
108,中通,75822657213445,北京,0.62,2.8,2021-11-01
109,中通,75822658500474,北京,0.77,2.8,2021-11-01
110,中通,75822658213485,河北,0.77,2.5,2021-11-01
111,中通,75822658455456,河北,0.76,2.5,2021-11-01
112,中通,75822658808539,河北,1.88,2.8,2021-11-01
113,中通,75822658597098,河北,1.85,2.8,2021-11-01
114,中通,75822656611788,河北,0.79,2.5,2021-11-01
115,中通,75822657075414,北京,1.31,3.0,2021-11-01
116,中通,75822656773042,天津,1.3,3.0,2021-11-01
117,中通,75822656860483,北京,1.29,3.0,2021-11-01
118,中通,75822656915730,河北,1.32,2.8,2021-11-01
119,中通,75822657918687,河北,1.33,2.8,2021-11-01
120,中通,75822658356736,山西,1.29,3.0,2021-11-01
121,中通,75822658058774,河北,1.28,2.8,2021-11-01
122,中通,75822658213472,河北,1.35,2.8,2021-11-01
123,中通,75822656917396,山西,1.34,3.0,2021-11-01
124,中通,75822656714123,山西,1.33,3.0,2021-11-01
125,中通,75822656790715,河北,1.29,2.8,2021-11-01
126,中通,75822657360799,北京,1.29,3.0,2021-11-01
127,中通,75822657286818,河北,1.32,2.8,2021-11-01
128,中通,75822656637486,河北,1.27,2.8,2021-11-01
129,中通,75822657155393,天津,1.3,3.0,2021-11-01
130,中通,75822656860521,天津,1.29,3.0,2021-11-01
131,中通,75822658356493,河北,0.79,2.5,2021-11-01
132,中通,75822658450276,河北,0.76,2.5,2021-11-01
133,中通,75822658605596,北京,0.5,2.8,2021-11-01
134,中通,75822658646226,天津,1.82,3.0,2021-11-01
135,中通,75822656915727,河北,1.82,2.8,2021-11-01
136,中通,75822658585566,北京,1.83,3.0,2021-11-01
137,中通,75822658585624,河北,1.82,2.8,2021-11-01
138,中通,75822657364781,北京,0.78,2.8,2021-11-01
139,中通,75822658607196,北京,0.5,2.8,2021-11-01
140,中通,75822658962762,河北,1.85,2.8,2021-11-01
141,中通,75822657383025,天津,1.88,3.0,2021-11-01
142,中通,75822658431253,河北,1.3,2.8,2021-11-01
143,中通,75822658382865,河北,0.82,2.5,2021-11-01
144,中通,75822658216719,河北,0.78,2.5,2021-11-01
145,中通,75822658435511,河北,0.77,2.5,2021-11-01
146,中通,75822658443268,山西,0.8,2.5,2021-11-01
147,中通,75822658808506,北京,0.5,2.8,2021-11-01
148,中通,75822658449212,天津,0.75,2.5,2021-11-01
149,中通,75822658449190,北京,0.5,2.8,2021-11-01
150,中通,75822657155232,河北,1.83,2.8,2021-11-01
151,中通,75822658648285,天津,1.26,3.0,2021-11-01
152,中通,75822658592640,河北,1.27,2.8,2021-11-01
153,中通,75822657292214,天津,1.3,3.0,2021-11-01
154,中通,75822657997402,北京,1.31,3.0,2021-11-01
155,中通,75822658646305,北京,1.31,3.0,2021-11-01
156,中通,75822656860468,河北,1.83,2.8,2021-11-01
157,中通,75822657520233,河北,1.89,2.8,2021-11-01
158,中通,75822656923897,河北,1.8,2.8,2021-11-01
159,中通,75822656615502,北京,1.29,3.0,2021-11-01
160,中通,75822658607206,河北,1.3,2.8,2021-11-01
161,中通,75822658729439,北京,1.35,3.0,2021-11-01
162,中通,75822658808513,河北,1.36,2.8,2021-11-01
163,中通,75822658605647,北京,0.5,2.8,2021-11-01
164,中通,75822656622329,北京,1.3,3.0,2021-11-01
165,中通,75822658361248,河北,1.3,2.8,2021-11-01
166,中通,75822656777461,山西,0.81,2.5,2021-11-01
167,中通,75822657081699,河北,1.32,2.8,2021-11-01
168,中通,75822657173212,北京,0.73,2.8,2021-11-01
169,中通,75822658438516,天津,1.26,3.0,2021-11-01
170,中通,75822657216026,天津,1.3,3.0,2021-11-01
171,中通,75822658439390,河北,1.24,2.8,2021-11-01
172,中通,75822658373755,山西,1.29,3.0,2021-11-01
173,中通,75822656476304,北京,1.34,3.0,2021-11-01
174,中通,75822656613176,河北,1.37,2.8,2021-11-01
175,中通,75822657152420,河北,1.31,2.8,2021-11-01
176,中通,75822657084948,北京,0.5,2.8,2021-11-01
177,中通,75822657080146,河北,1.28,2.8,2021-11-01
178,中通,75822657079583,北京,1.32,3.0,2021-11-01
179,中通,75822656634928,北京,0.5,2.8,2021-11-01
180,中通,75822656791860,山西,1.29,3.0,2021-11-01
181,中通,75822657164633,河北,1.29,2.8,2021-11-01
182,中通,75822656634984,北京,1.28,3.0,2021-11-01
183,中通,75822658213748,北京,0.5,2.8,2021-11-01
184,中通,75822657522129,河北,0.5,2.5,2021-11-01
185,中通,75822656860506,河北,1.85,2.8,2021-11-01
186,中通,75822657172933,河北,0.5,2.5,2021-11-01
187,中通,75822657079542,河北,1.8,2.8,2021-11-01
188,中通,75822657520274,河北,1.81,2.8,2021-11-01
189,中通,75822658722965,山西,0.77,2.5,2021-11-01
190,中通,75822658592611,北京,0.5,2.8,2021-11-01
191,中通,75822658435432,河北,1.82,2.8,2021-11-01
192,中通,75822656860476,山西,1.83,3.0,2021-11-01
193,中通,75822658720217,北京,1.28,3.0,2021-11-01
194,中通,75822657996023,天津,1.85,3.0,2021-11-01
195,中通,75822658434939,北京,1.86,3.0,2021-11-01
196,中通,75822658058726,北京,0.74,2.8,2021-11-01
197,中通,75822657995943,山西,0.75,2.5,2021-11-01
