,logistics,_id,area,weight,fee,time
0,山东中通,78237557906556,辽宁,3.08,2.7,2021-11-09
1,山东中通,78237114909466,湖南,2.1,2.7,2021-11-08
2,山东中通,78237215326375,浙江,2.62,2.7,2021-11-08
3,山东中通,78237114926636,安徽,2.1,2.7,2021-11-08
4,山东中通,78237115256241,山西,2.1,2.7,2021-11-08
5,山东中通,78237215821452,江西,2.54,2.7,2021-11-08
6,山东中通,78237215366754,辽宁,2.78,2.7,2021-11-08
7,山东中通,78237215960095,上海,2.1,2.7,2021-11-08
8,山东中通,78237114956069,江西,2.1,2.7,2021-11-08
9,山东中通,78237115232419,江苏,2.1,2.7,2021-11-08
10,山东中通,78237215819084,辽宁,2.56,2.7,2021-11-08
11,山东中通,78237114958947,北京,2.1,2.7,2021-11-08
12,山东中通,78237215717571,江苏,2.1,2.7,2021-11-08
13,山东中通,78237215324081,辽宁,2.1,2.7,2021-11-08
14,山东中通,78237215309759,安徽,2.84,2.7,2021-11-08
15,山东中通,78237215718432,江苏,2.76,2.7,2021-11-08
16,山东中通,78237215511611,安徽,2.1,2.7,2021-11-08
17,山东中通,78237215545484,江苏,2.97,2.7,2021-11-08
18,山东中通,78237215701191,天津,2.1,2.7,2021-11-08
19,山东中通,78237215325106,福建,2.1,2.7,2021-11-08
20,山东中通,78237119069312,浙江,2.1,2.7,2021-11-08
21,山东中通,78237215355800,浙江,2.1,2.7,2021-11-08
22,山东中通,78237119032244,山东,2.1,2.7,2021-11-08
23,山东中通,78237114884620,湖北,2.1,2.7,2021-11-08
24,山东中通,78237189866145,天津,2.63,2.7,2021-11-08
25,山东中通,78237114880361,安徽,2.1,2.7,2021-11-08
26,山东中通,78237189868732,江苏,2.51,2.7,2021-11-08
27,山东中通,78237119069338,安徽,2.1,2.7,2021-11-08
28,山东中通,78237114918861,山东,2.1,2.7,2021-11-08
29,山东中通,78237119117595,山东,2.1,2.7,2021-11-08
30,山东中通,78237215338706,江苏,2.1,2.7,2021-11-08
31,山东中通,78237119119797,安徽,2.1,2.7,2021-11-08
32,山东中通,78237119130239,黑龙江,2.1,2.7,2021-11-08
33,山东中通,78237189868375,安徽,2.1,2.7,2021-11-08
34,山东中通,78237123011645,河南,2.1,2.7,2021-11-08
35,山东中通,78237189871234,辽宁,2.1,2.7,2021-11-08
36,山东中通,78237190066398,山西,2.1,2.7,2021-11-08
37,山东中通,78237119132522,安徽,2.1,2.7,2021-11-08
38,山东中通,78237119136316,湖南,2.1,2.7,2021-11-08
39,山东中通,78237122997596,湖南,2.1,2.7,2021-11-08
40,山东中通,78237190048762,河北,2.1,2.7,2021-11-08
41,山东中通,78237190049968,江苏,2.1,2.7,2021-11-08
42,山东中通,78237119133692,安徽,2.1,2.7,2021-11-08
43,山东中通,78237215352165,浙江,2.1,2.7,2021-11-08
44,山东中通,78237123010082,辽宁,2.1,2.7,2021-11-08
45,山东中通,78237123000665,浙江,2.1,2.7,2021-11-08
46,山东中通,78237123001197,江苏,2.1,2.7,2021-11-08
47,山东中通,78237119089351,江西,2.1,2.7,2021-11-08
48,山东中通,78237119095817,安徽,2.1,2.7,2021-11-08
49,山东中通,78237123001222,福建,2.1,2.7,2021-11-08
50,山东中通,78237123025346,浙江,2.1,2.7,2021-11-08
51,山东中通,78237123020449,江西,2.1,2.7,2021-11-08
52,山东中通,78237123281968,天津,2.1,2.7,2021-11-08
53,山东中通,78237119044034,上海,2.1,2.7,2021-11-08
54,山东中通,78237123004553,江苏,2.1,2.7,2021-11-08
55,山东中通,78237122795540,河北,2.1,2.7,2021-11-08
56,山东中通,78237119093516,浙江,2.1,2.7,2021-11-08
57,山东中通,78237214991763,黑龙江,2.55,2.7,2021-11-08
58,山东中通,78237119086947,江西,2.1,2.7,2021-11-08
59,山东中通,78237215711984,山西,2.1,2.7,2021-11-08
60,山东中通,78237215881669,河北,2.1,2.7,2021-11-08
61,山东中通,78237215244143,北京,2.59,2.7,2021-11-08
62,山东中通,78237215002874,吉林,2.68,2.7,2021-11-08
63,山东中通,78237215761992,江苏,2.5,2.7,2021-11-08
64,山东中通,78237119041490,江苏,2.1,2.7,2021-11-08
65,山东中通,78237215537766,福建,2.1,2.7,2021-11-08
66,山东中通,78237190014014,山西,2.1,2.7,2021-11-08
67,山东中通,78237215961898,湖北,2.1,2.7,2021-11-08
68,山东中通,78237190037662,山东,2.1,2.7,2021-11-08
69,山东中通,78237190065866,江苏,2.1,2.7,2021-11-08
70,山东中通,78237215698861,上海,2.1,2.7,2021-11-08
71,山东中通,78237215548705,吉林,2.1,2.7,2021-11-08
72,山东中通,78237190062601,浙江,2.1,2.7,2021-11-08
73,山东中通,78237215536969,福建,2.1,2.7,2021-11-08
74,山东中通,78237215541887,湖南,2.1,2.7,2021-11-08
75,山东中通,78237215720706,湖南,2.1,2.7,2021-11-08
76,山东中通,78237212542965,江苏,2.1,2.7,2021-11-08
77,山东中通,78237215696976,湖南,2.1,2.7,2021-11-08
78,山东中通,78237123480974,河南,2.1,2.7,2021-11-08
79,山东中通,78237119498247,湖北,2.1,2.7,2021-11-08
80,山东中通,78237215700325,浙江,2.1,2.7,2021-11-08
81,山东中通,78237215539409,江西,2.1,2.7,2021-11-08
82,山东中通,78237215537248,江苏,2.1,2.7,2021-11-08
83,山东中通,78237215555550,江西,2.1,2.7,2021-11-08
84,山东中通,78237215303352,湖南,2.1,2.7,2021-11-08
85,山东中通,78237190061646,上海,2.1,2.7,2021-11-08
86,山东中通,78237215549240,江苏,2.1,2.7,2021-11-08
87,山东中通,78237215525629,江西,2.1,2.7,2021-11-08
88,山东中通,78237123052398,山东,2.1,2.7,2021-11-08
89,山东中通,78237215958998,浙江,2.1,2.7,2021-11-08
90,山东中通,78237123227918,湖北,2.1,2.7,2021-11-08
91,山东中通,78237215085465,湖南,2.1,2.7,2021-11-08
92,山东中通,78237215963536,安徽,2.1,2.7,2021-11-08
93,山东中通,78237190009788,安徽,2.1,2.7,2021-11-08
94,山东中通,78237215524967,江苏,2.1,2.7,2021-11-08
95,山东中通,78237215560636,江苏,2.1,2.7,2021-11-08
96,山东中通,78237190067458,安徽,2.1,2.7,2021-11-08
97,山东中通,78237215538004,湖南,2.1,2.7,2021-11-08
98,山东中通,78237122908483,江苏,2.1,2.7,2021-11-08
99,山东中通,78237122951721,湖北,2.1,2.7,2021-11-08
100,山东中通,78237114951266,安徽,2.49,2.7,2021-11-08
101,山东中通,78237122946860,浙江,2.1,2.7,2021-11-08
102,山东中通,78237114952206,江苏,2.56,2.7,2021-11-08
103,山东中通,78237122907711,河南,2.1,2.7,2021-11-08
104,山东中通,78237122953459,安徽,2.1,2.7,2021-11-08
105,山东中通,78237122951676,浙江,2.1,2.7,2021-11-08
106,山东中通,78237215553529,福建,1.06,2.7,2021-11-08
107,山东中通,78237119552148,江西,1.7,2.7,2021-11-08
108,山东中通,78237215020272,河北,2.57,2.7,2021-11-08
109,山东中通,78237189869011,湖北,2.68,2.7,2021-11-08
110,山东中通,78237119090417,北京,1.68,2.7,2021-11-08
111,山东中通,78237189869456,江苏,2.61,2.7,2021-11-08
112,山东中通,78237215708829,上海,1.11,2.7,2021-11-08
113,山东中通,78237190850773,江苏,1.01,2.7,2021-11-08
114,山东中通,78237215717543,江苏,0.3,2.7,2021-11-08
115,山东中通,78237215100537,福建,2.59,2.7,2021-11-08
116,山东中通,78237115254619,江西,2.1,2.7,2021-11-08
117,山东中通,78237215958809,山西,2.62,2.7,2021-11-08
118,山东中通,78237214984876,浙江,2.58,2.7,2021-11-08
119,山东中通,78237215706601,江西,2.1,2.7,2021-11-08
120,山东中通,78237114911497,江苏,2.1,2.7,2021-11-08
121,山东中通,78237215361176,安徽,2.58,2.7,2021-11-08
122,山东中通,78237215321486,安徽,2.62,2.7,2021-11-08
123,山东中通,78237114907787,福建,2.1,2.7,2021-11-08
124,山东中通,78237115231206,浙江,2.1,2.7,2021-11-08
125,山东中通,78237215710429,江苏,2.1,2.7,2021-11-08
126,山东中通,78237215709596,浙江,2.63,2.7,2021-11-08
127,山东中通,78237114925422,湖南,2.1,2.7,2021-11-08
128,山东中通,78237114923404,江西,2.1,2.7,2021-11-08
129,山东中通,78237119128414,江苏,2.1,2.7,2021-11-08
130,山东中通,78237114923537,湖南,2.1,2.7,2021-11-08
131,山东中通,78237215079923,山东,2.1,2.7,2021-11-08
132,山东中通,78237215238351,河北,2.1,2.7,2021-11-08
133,山东中通,78237114934241,河南,2.1,2.7,2021-11-08
134,山东中通,78237114879648,山东,2.1,2.7,2021-11-08
135,山东中通,78237215306260,河南,2.1,2.7,2021-11-08
136,山东中通,78237215075586,山东,2.1,2.7,2021-11-08
137,山东中通,78237114925356,山东,2.1,2.7,2021-11-08
138,山东中通,78237119073405,湖北,2.1,2.7,2021-11-08
139,山东中通,78237119115975,江苏,2.1,2.7,2021-11-08
140,山东中通,78237114877951,湖南,2.1,2.7,2021-11-08
141,山东中通,78237114924176,河南,2.1,2.7,2021-11-08
142,山东中通,78237119160172,江西,2.1,2.7,2021-11-08
143,山东中通,78237189873120,河北,2.1,2.7,2021-11-08
144,山东中通,78237190067736,湖南,2.1,2.7,2021-11-08
145,山东中通,78237190048630,天津,2.1,2.7,2021-11-08
146,山东中通,78237119105524,吉林,2.1,2.7,2021-11-08
147,山东中通,78237119488924,江西,2.1,2.7,2021-11-08
148,山东中通,78237119136000,江苏,2.1,2.7,2021-11-08
149,山东中通,78237119147273,江西,2.1,2.7,2021-11-08
150,山东中通,78237215355060,安徽,2.1,2.7,2021-11-08
151,山东中通,78237119150896,河南,2.1,2.7,2021-11-08
152,山东中通,78237189873408,黑龙江,2.1,2.7,2021-11-08
153,山东中通,78237190060400,湖南,2.1,2.7,2021-11-08
154,山东中通,78237189869422,山东,2.15,2.7,2021-11-08
155,山东中通,78237119146994,北京,2.1,2.7,2021-11-08
156,山东中通,78237119135667,山东,2.1,2.7,2021-11-08
157,山东中通,78237215872590,浙江,2.1,2.7,2021-11-08
158,山东中通,78237119153966,湖北,2.1,2.7,2021-11-08
159,山东中通,78237119106084,河南,2.1,2.7,2021-11-08
160,山东中通,78237190051024,福建,2.1,2.7,2021-11-08
161,山东中通,78237122775314,湖北,2.1,2.7,2021-11-08
162,山东中通,78237119041219,浙江,2.1,2.7,2021-11-08
163,山东中通,78237122997172,江苏,2.1,2.7,2021-11-08
164,山东中通,78237123000877,江西,2.1,2.7,2021-11-08
165,山东中通,78237122761123,江苏,2.1,2.7,2021-11-08
