,logistics,_id,area,weight,fee,time
0,山东极兔,JT5079966941319,福建,1.6,2.8,2021-11-07
1,山东极兔,JT5079966624318,山西,1.55,2.8,2021-11-07
2,山东极兔,JT5079966623940,上海,1.6,3.8,2021-11-07
3,山东极兔,JT5079966891257,安徽,1.6,2.8,2021-11-07
4,山东极兔,JT5079966650545,江西,1.6,2.8,2021-11-07
5,山东极兔,JT5079966654707,安徽,1.6,2.8,2021-11-07
6,山东极兔,JT5079966945695,浙江,1.6,2.8,2021-11-07
7,山东极兔,JT5079966902214,江西,1.6,2.8,2021-11-07
8,山东极兔,JT5079966653384,浙江,1.6,2.8,2021-11-07
9,山东极兔,JT5079966633740,湖南,1.7,2.8,2021-11-07
10,山东极兔,JT5079966909759,上海,1.6,3.8,2021-11-07
11,山东极兔,JT5079966915115,江西,1.65,2.8,2021-11-07
12,山东极兔,JT5079966643675,湖南,1.6,2.8,2021-11-07
13,山东极兔,JT5079966638881,天津,1.6,2.8,2021-11-07
14,山东极兔,JT5079966663924,江苏,1.65,2.8,2021-11-07
15,山东极兔,JT5079966634038,辽宁,1.65,2.8,2021-11-07
16,山东极兔,JT5079966678025,北京,1.6,3.8,2021-11-07
17,山东极兔,JT5079966671933,河北,1.55,2.8,2021-11-07
18,山东极兔,JT5079966684867,浙江,1.0,2.3,2021-11-07
19,山东极兔,JT5079966689657,河北,1.0,2.3,2021-11-07
20,山东极兔,JT5079966915079,湖南,1.6,2.8,2021-11-07
21,山东极兔,JT5079966922449,江苏,1.55,2.8,2021-11-07
22,山东极兔,JT5079966895099,江苏,1.6,2.8,2021-11-07
23,山东极兔,JT5079966692503,吉林,1.3,2.8,2021-11-07
24,山东极兔,JT5079966935497,黑龙江,1.65,6.5,2021-11-07
25,山东极兔,JT5079966693379,上海,1.0,3.3,2021-11-07
26,山东极兔,JT5079966693108,湖北,1.0,2.3,2021-11-07
27,山东极兔,JT5079966698385,福建,1.55,2.8,2021-11-07
28,山东极兔,JT5079966696629,江西,1.6,2.8,2021-11-07
29,山东极兔,JT5079966901108,浙江,1.55,2.8,2021-11-07
30,山东极兔,JT5079966902703,江西,1.6,2.8,2021-11-07
31,山东极兔,JT5079966921764,江苏,1.6,2.8,2021-11-07
32,山东极兔,JT5079966685826,山西,1.0,2.3,2021-11-07
33,山东极兔,JT5079966950025,浙江,1.6,2.8,2021-11-07
34,山东极兔,JT5079966645364,湖南,1.65,2.8,2021-11-07
35,山东极兔,JT5079966633897,河南,1.6,2.8,2021-11-07
36,山东极兔,JT5079966936650,河南,1.6,2.8,2021-11-07
37,山东极兔,JT5079966920625,湖北,1.6,2.8,2021-11-07
38,山东极兔,JT5079966661768,江苏,1.55,2.8,2021-11-07
39,山东极兔,JT5079966696538,河北,1.55,2.8,2021-11-07
40,山东极兔,JT5079966652530,湖北,1.6,2.8,2021-11-07
41,山东极兔,JT5079966928641,山东,1.55,2.8,2021-11-07
42,山东极兔,JT5079966894290,河北,1.55,2.8,2021-11-07
43,山东极兔,JT5079966681142,天津,1.6,2.8,2021-11-07
44,山东极兔,JT5079966659280,辽宁,1.6,2.8,2021-11-07
45,山东极兔,JT5079966689759,安徽,1.0,2.3,2021-11-07
46,山东极兔,JT5079966901313,湖北,1.6,2.8,2021-11-07
47,山东极兔,JT5079966950718,河北,1.6,2.8,2021-11-07
48,山东极兔,JT5079966693391,湖北,1.0,2.3,2021-11-07
49,山东极兔,JT5079966920409,浙江,1.6,2.8,2021-11-07
50,山东极兔,JT5079966657671,安徽,1.6,2.8,2021-11-07
51,山东极兔,JT5079966932374,江苏,1.6,2.8,2021-11-07
52,山东极兔,JT5079966680229,天津,1.6,2.8,2021-11-07
53,山东极兔,JT5079966889779,河南,1.65,2.8,2021-11-07
54,山东极兔,JT5079966944307,山东,1.55,2.8,2021-11-07
55,山东极兔,JT5079966646061,天津,1.65,2.8,2021-11-07
56,山东极兔,JT5079966639442,江西,1.7,2.8,2021-11-07
57,山东极兔,JT5079966915080,江苏,1.6,2.8,2021-11-07
58,山东极兔,JT5079966918910,湖南,1.65,2.8,2021-11-07
59,山东极兔,JT5079966633002,山东,1.7,2.8,2021-11-07
60,山东极兔,JT5079966940474,上海,1.7,3.8,2021-11-07
61,山东极兔,JT5079966638734,湖南,1.6,2.8,2021-11-07
62,山东极兔,JT5079966691044,浙江,1.6,2.8,2021-11-07
63,山东极兔,JT5079966656098,河南,1.6,2.8,2021-11-07
64,山东极兔,JT5079966676858,河南,1.6,2.8,2021-11-07
65,山东极兔,JT5079966698852,江苏,1.55,2.8,2021-11-07
66,山东极兔,JT5079966668496,浙江,1.55,2.8,2021-11-07
67,山东极兔,JT5079966669148,黑龙江,1.55,6.5,2021-11-07
68,山东极兔,JT5079966701144,湖南,1.7,2.8,2021-11-07
69,山东极兔,JT5079966894654,浙江,1.65,2.8,2021-11-07
70,山东极兔,JT5079966626530,安徽,1.55,2.8,2021-11-07
71,山东极兔,JT5079966697031,山东,1.6,2.8,2021-11-07
72,山东极兔,JT5079966677691,河南,1.6,2.8,2021-11-07
73,山东极兔,JT5079966695502,江苏,1.6,2.8,2021-11-07
74,山东极兔,JT5079966914576,安徽,1.6,2.8,2021-11-07
75,山东极兔,JT5079966917235,福建,1.55,2.8,2021-11-07
76,山东极兔,JT5079966923260,江西,1.6,2.8,2021-11-07
77,山东极兔,JT5079966924809,浙江,1.7,2.8,2021-11-07
78,山东极兔,JT5079966901686,北京,1.55,3.8,2021-11-07
79,山东极兔,JT5079966624272,河南,1.6,2.8,2021-11-07
80,山东极兔,JT5079966670792,河南,1.65,2.8,2021-11-07
81,山东极兔,JT5079966678956,天津,1.55,2.8,2021-11-07
82,山东极兔,JT5079966721948,北京,1.0,3.3,2021-11-07
