,logistics,_id,area,weight,fee,time
344,常州极兔,JT5078488567773,江苏,2,2.3,2021-11-01
670,常州极兔,JT2901473245959,湖北,2,2.3,2021-11-01
825,常州极兔,JT2901467314495,河北,3,2.3,2021-11-01
864,常州极兔,JT5078231010923,浙江,4,3.2,2021-11-01
1574,常州极兔,JT2901473485351,安徽,2,2.3,2021-11-01
2062,常州极兔,JT5078430571014,山东,3,2.7,2021-11-01
2826,常州极兔,JT5078416889338,河南,4,2.7,2021-11-01
2901,常州极兔,JT5078367917895,山东,2,2.3,2021-11-01
3221,常州极兔,JT5078499269337,河南,3,2.7,2021-11-01
5223,常州极兔,JT5078432710979,江苏,3,2.7,2021-11-01
6065,常州极兔,JT5078381148267,上海,3,3.2,2021-11-01
6500,常州极兔,JT5078548807487,四川,4,3.2,2021-11-01
6581,常州极兔,JT5078391601949,福建,4,2.7,2021-11-01
6830,常州极兔,JT5078488394132,浙江,4,3.2,2021-11-01
6844,常州极兔,JT5078551362524,四川,1,2.3,2021-11-01
6906,常州极兔,JT5078077057840,浙江,3,2.7,2021-11-01
7464,常州极兔,JT5078231023142,江苏,2,2.3,2021-11-01
7761,常州极兔,JT5078229336139,山东,3,2.3,2021-11-01
7963,常州极兔,JT5078541937808,四川,1,2.3,2021-11-01
8115,常州极兔,JT5078541913024,山东,3,2.7,2021-11-02
8284,常州极兔,JT2901498742205,四川,2,2.7,2021-11-02
8288,常州极兔,JT2901500704724,四川,2,2.7,2021-11-02
8291,常州极兔,JT2901500531926,四川,2,2.7,2021-11-02
9553,常州极兔,JT2901500299082,四川,2,2.7,2021-11-02
9595,常州极兔,JT5078551349925,山东,3,2.7,2021-11-02
9807,常州极兔,JT5078541913717,河南,11,2.3,2021-11-02
10007,常州极兔,JT5078392336632,山东,3,2.7,2021-11-02
10218,常州极兔,JT2901497743600,四川,3,3.2,2021-11-02
10258,常州极兔,JT2901497146646,江苏,4,3.2,2021-11-02
10498,常州极兔,JT5078501458710,安徽,3,2.3,2021-11-02
10594,常州极兔,JT5078541878950,湖北,2,2.3,2021-11-02
10630,常州极兔,JT2901496147369,江苏,5,3.2,2021-11-02
11981,常州极兔,JT5078691927455,江苏,4,3.2,2021-11-02
12499,常州极兔,JT5078727910267,内蒙古,2,3.2,2021-11-02
