,logistics,_id,area,weight,fee,time
0,高埗中通,75506015931730,广东,2.18,2.5,2021-11-01
1,高埗中通,75822744060760,福建,2.24,2.5,2021-11-01
2,高埗中通,75822743822491,广西,1.91,2.5,2021-11-01
3,高埗中通,75822743901017,广西,2.2,2.5,2021-11-01
4,高埗中通,75822744203976,福建,1.85,2.5,2021-11-01
5,高埗中通,75822744060729,广东,2.13,2.5,2021-11-01
6,高埗中通,75822744132022,广东,2.03,2.5,2021-11-01
7,高埗中通,75506015931689,广东,2.22,2.5,2021-11-01
8,高埗中通,75822744131983,广东,1.79,2.5,2021-11-01
9,高埗中通,75506015931543,广东,2.06,2.5,2021-11-01
10,高埗中通,75822744061567,广东,1.82,2.5,2021-11-01
11,高埗中通,75506015931796,广东,2.24,2.5,2021-11-01
12,高埗中通,75822744131976,广东,1.56,2.5,2021-11-01
13,高埗中通,75822743828076,福建,1.21,2.5,2021-11-01
14,高埗中通,75822743901004,福建,1.54,2.5,2021-11-01
15,高埗中通,75822744064977,广东,1.16,2.5,2021-11-01
16,高埗中通,75822743900993,广东,1.91,2.5,2021-11-01
17,高埗中通,75822744204533,广东,2.14,2.5,2021-11-01
18,高埗中通,75822743828127,广东,0.82,2.5,2021-11-01
19,高埗中通,75822744132010,广东,2.05,2.5,2021-11-01
20,高埗中通,75822744061700,广东,2.13,2.5,2021-11-01
21,高埗中通,75822744203685,福建,2.22,2.5,2021-11-01
22,高埗中通,75822744060744,广东,3.08,2.5,2021-11-01
23,高埗中通,75822743900965,福建,2.27,2.5,2021-11-01
24,高埗中通,75822744357275,广东,2.12,2.5,2021-11-01
25,高埗中通,75506015931714,广东,2.05,2.5,2021-11-01
26,高埗中通,75822743822476,广东,2.23,2.5,2021-11-01
27,高埗中通,75822744064951,福建,1.21,2.5,2021-11-01
28,高埗中通,75822743900978,广东,2.1,2.5,2021-11-01
29,高埗中通,75822744642578,广东,1.17,2.5,2021-11-01
30,高埗中通,75506015931607,广东,2.14,2.5,2021-11-01
31,高埗中通,75822743828786,广西,1.12,2.5,2021-11-01
32,高埗中通,75822744059132,广西,2.06,2.5,2021-11-01
33,高埗中通,75822744133348,广东,2.05,2.5,2021-11-01
