,logistics,_id,area,weight,fee,time
0,极兔,JT5078566213070,天津,2.4,2.8,2021-11-01
1,极兔,JT5078566213150,山西,2.35,2.8,2021-11-01
2,极兔,JT5078566218097,山西,2.37,2.8,2021-11-01
3,极兔,JT5078566217743,河北,0.63,2.2,2021-11-01
4,极兔,JT5078566204160,河北,0.63,2.2,2021-11-01
5,极兔,JT5078566207783,天津,2.46,2.8,2021-11-01
6,极兔,JT5078566208582,河北,0.76,2.2,2021-11-01
7,极兔,JT5078566279925,河北,2.32,2.8,2021-11-01
8,极兔,JT5078566268655,河北,1.1,2.7,2021-11-01
9,极兔,JT5078566267709,山西,2.37,2.8,2021-11-01
10,极兔,JT5078566265010,河北,1.1,2.7,2021-11-01
11,极兔,JT5078566257261,河北,0.76,2.2,2021-11-01
12,极兔,JT5078566255594,河北,1.26,2.7,2021-11-01
13,极兔,JT5078566256144,河北,1.09,2.7,2021-11-01
14,极兔,JT5078566255516,山西,0.76,2.2,2021-11-01
15,极兔,JT5078566262497,山西,1.23,2.7,2021-11-01
16,极兔,JT5078566258775,天津,1.31,2.7,2021-11-01
17,极兔,JT5078566261609,天津,0.75,2.2,2021-11-01
18,极兔,JT5078566260480,北京,1.1,3.6,2021-11-01
19,极兔,JT5078566246071,河北,1.35,2.7,2021-11-01
20,极兔,JT5078566247074,天津,2.53,2.8,2021-11-01
21,极兔,JT5078566245589,河北,0.76,2.2,2021-11-01
22,极兔,JT5078566247621,山西,0.78,2.2,2021-11-01
23,极兔,JT5078566245023,河北,1.33,2.7,2021-11-01
24,极兔,JT5078566253338,河北,0.75,2.2,2021-11-01
25,极兔,JT5078566324979,河北,0.77,2.2,2021-11-01
26,极兔,JT5078566323385,河北,1.34,2.7,2021-11-01
27,极兔,JT5078566313949,河北,2.41,2.8,2021-11-01
28,极兔,JT5078562643670,河北,0.81,2.2,2021-11-01
29,极兔,JT5078562654166,山西,2.39,2.8,2021-11-01
30,极兔,JT5078562654199,河北,2.33,2.8,2021-11-01
31,极兔,JT5078562658453,山西,1.28,2.7,2021-11-01
32,极兔,JT5078389721900,北京,1.34,3.6,2021-11-01
33,极兔,JT5078566221249,河北,1.32,2.7,2021-11-01
34,极兔,JT5078566218735,北京,0.63,3.2,2021-11-01
35,极兔,JT5078566218973,河北,0.63,2.2,2021-11-01
36,极兔,JT5078389723666,河北,1.32,2.7,2021-11-01
37,极兔,JT5078389717824,河北,2.36,2.8,2021-11-01
38,极兔,JT5078389719693,北京,1.11,3.6,2021-11-01
39,极兔,JT5078566211858,北京,0.63,3.2,2021-11-01
40,极兔,JT5078566202357,天津,1.27,2.7,2021-11-01
41,极兔,JT5078566210571,山西,2.31,2.8,2021-11-01
42,极兔,JT5078566275683,山西,2.4,2.8,2021-11-01
43,极兔,JT5078389733875,天津,1.25,2.7,2021-11-01
44,极兔,JT5078389732236,北京,0.73,3.2,2021-11-01
45,极兔,JT5078566281776,北京,1.08,3.6,2021-11-01
46,极兔,JT5078566280875,河北,2.4,2.8,2021-11-01
47,极兔,JT5078389736567,河北,1.84,2.7,2021-11-01
48,极兔,JT5078566265883,河北,2.4,2.8,2021-11-01
49,极兔,JT5078566264006,天津,2.32,2.8,2021-11-01
50,极兔,JT5078566273063,河北,0.77,2.2,2021-11-01
51,极兔,JT5078389727577,山西,1.27,2.7,2021-11-01
52,极兔,JT5078389727680,河北,1.31,2.7,2021-11-01
53,极兔,JT5078566270235,北京,2.38,3.7,2021-11-01
54,极兔,JT5078389728398,山西,1.3,2.7,2021-11-01
55,极兔,JT5078566270417,山西,2.39,2.8,2021-11-01
56,极兔,JT5078389730694,北京,2.51,3.7,2021-11-01
57,极兔,JT5078389730309,山西,1.26,2.7,2021-11-01
58,极兔,JT5078389729539,河北,1.83,2.7,2021-11-01
