,logistics,_id,area,weight,fee,time
0,武汉中通,75506176709481,浙江,1.5,2.85,2021-11-03
1,武汉中通,75506176588376,浙江,1.5,2.85,2021-11-03
2,武汉中通,75506177491609,浙江,1.5,2.85,2021-11-03
3,武汉中通,75506176574654,浙江,1.5,2.85,2021-11-03
4,武汉中通,75506177490536,浙江,1.5,2.85,2021-11-03
5,武汉中通,75506176572715,浙江,1.5,2.85,2021-11-03
6,武汉中通,75506176864990,浙江,1.5,2.85,2021-11-03
7,武汉中通,75506177488405,浙江,1.5,2.85,2021-11-03
8,武汉中通,75506177368675,浙江,1.5,2.85,2021-11-03
9,武汉中通,75506176884276,浙江,1.5,2.85,2021-11-03
10,武汉中通,75506177368846,浙江,1.5,2.85,2021-11-03
11,武汉中通,75506176732402,浙江,1.5,2.85,2021-11-03
12,武汉中通,75506176587892,浙江,1.5,2.85,2021-11-03
13,武汉中通,75506176733702,浙江,1.5,2.85,2021-11-03
14,武汉中通,75506176709412,浙江,1.5,2.85,2021-11-03
15,武汉中通,75506176575053,浙江,1.5,2.85,2021-11-03
16,武汉中通,75506176870396,浙江,1.5,2.85,2021-11-03
17,武汉中通,75506176572358,浙江,1.5,2.85,2021-11-03
18,武汉中通,75506177025588,浙江,1.5,2.85,2021-11-03
19,武汉中通,75506176709282,浙江,1.5,2.85,2021-11-03
20,武汉中通,75506177492169,浙江,1.5,2.85,2021-11-03
21,武汉中通,75506177491068,浙江,1.5,2.85,2021-11-03
22,武汉中通,75506176865006,浙江,1.5,2.85,2021-11-03
23,武汉中通,75506176576603,浙江,1.5,2.85,2021-11-03
24,武汉中通,75506177052055,浙江,1.5,2.85,2021-11-03
25,武汉中通,75506177492766,浙江,1.5,2.85,2021-11-03
26,武汉中通,75506176572968,浙江,1.5,2.85,2021-11-03
27,武汉中通,75506176587864,浙江,1.5,2.85,2021-11-03
28,武汉中通,75506176866525,浙江,1.5,2.85,2021-11-03
29,武汉中通,75506176710596,浙江,1.5,2.85,2021-11-03
30,武汉中通,75506176732905,浙江,1.5,2.85,2021-11-03
31,武汉中通,75506176884268,浙江,1.5,2.85,2021-11-03
32,武汉中通,75506176709971,浙江,1.5,2.85,2021-11-03
33,武汉中通,75506176574256,浙江,1.5,2.85,2021-11-03
34,武汉中通,75506176733557,浙江,1.5,2.85,2021-11-03
35,武汉中通,75506176575543,浙江,1.5,2.85,2021-11-03
36,武汉中通,75506176572585,浙江,1.5,2.85,2021-11-03
37,武汉中通,75506176711941,浙江,1.5,2.85,2021-11-03
38,武汉中通,75506176587318,浙江,1.5,2.85,2021-11-03
39,武汉中通,75506176589556,浙江,1.5,2.85,2021-11-03
40,武汉中通,75506176711755,浙江,1.5,2.85,2021-11-03
41,武汉中通,75506176884334,浙江,1.5,2.85,2021-11-03
42,武汉中通,75506176572366,浙江,1.5,2.85,2021-11-03
43,武汉中通,75506176867271,浙江,1.5,2.85,2021-11-03
44,武汉中通,75506176709928,浙江,1.5,2.85,2021-11-03
45,武汉中通,75506177493443,浙江,1.5,2.85,2021-11-03
46,武汉中通,75506176572927,浙江,1.5,2.85,2021-11-03
47,武汉中通,75506177492794,浙江,1.5,2.85,2021-11-03
48,武汉中通,75506177491453,浙江,1.5,2.85,2021-11-03
49,武汉中通,75506176731008,浙江,1.5,2.85,2021-11-03
50,武汉中通,75506177491119,浙江,1.5,2.85,2021-11-03
51,武汉中通,75506176588276,浙江,1.5,2.85,2021-11-03
52,武汉中通,75506176867639,浙江,1.5,2.85,2021-11-03
53,武汉中通,75506176732959,浙江,1.5,2.85,2021-11-03
54,武汉中通,75506177492781,浙江,1.5,2.85,2021-11-03
55,武汉中通,75506176731210,浙江,1.5,2.85,2021-11-03
56,武汉中通,75506176866490,浙江,1.5,2.85,2021-11-03
57,武汉中通,75506176575536,浙江,1.5,2.85,2021-11-03
58,武汉中通,75506177491558,浙江,1.5,2.85,2021-11-03
59,武汉中通,75506176711906,浙江,1.5,2.85,2021-11-03
60,武汉中通,75506176733366,浙江,1.5,2.85,2021-11-03
61,武汉中通,75506177492248,浙江,1.5,2.85,2021-11-03
62,武汉中通,75506176573275,浙江,1.5,2.85,2021-11-03
63,武汉中通,75506176711081,浙江,1.5,2.85,2021-11-03
64,武汉中通,75506176589364,浙江,1.5,2.85,2021-11-03
65,武汉中通,75506177490643,浙江,1.5,2.85,2021-11-03
66,武汉中通,75506177492289,浙江,1.5,2.85,2021-11-03
67,武汉中通,75506176708748,浙江,1.5,2.85,2021-11-03
68,武汉中通,75506176733797,浙江,1.5,2.85,2021-11-03
69,武汉中通,75506176572942,浙江,1.5,2.85,2021-11-03
70,武汉中通,75506176575331,浙江,1.5,2.85,2021-11-03
71,武汉中通,75506176588475,浙江,1.5,2.85,2021-11-03
72,武汉中通,75506176573155,浙江,1.5,2.85,2021-11-03
73,武汉中通,75506176710838,浙江,1.5,2.85,2021-11-03
74,武汉中通,75506176573262,浙江,1.5,2.85,2021-11-03
75,武汉中通,75506176589377,浙江,1.5,2.85,2021-11-03
76,武汉中通,75506176863940,浙江,1.5,2.85,2021-11-03
77,武汉中通,75506177491446,浙江,1.5,2.85,2021-11-03
