,logistics,_id,area,weight,fee,time
0,荆州中通,75822704616341,河南,1.85,3.5,2021-11-01
1,荆州中通,75822704616367,河南,1.5,3.5,2021-11-01
2,荆州中通,75822704615889,河南,1.85,3.5,2021-11-01
3,荆州中通,75822796855374,湖北,0.2,3.5,2021-11-01
4,荆州中通,78236138100759,河南,1.78,3.5,2021-11-01
5,荆州中通,75822704616339,河南,1.77,3.5,2021-11-01
6,荆州中通,75822704616313,湖北,1.84,3.5,2021-11-01
7,荆州中通,75822704556881,河南,1.75,3.5,2021-11-01
8,荆州中通,75822704616354,河南,1.8,3.5,2021-11-01
9,荆州中通,75822704556904,湖北,1.77,3.5,2021-11-01
10,荆州中通,75822704556917,河南,1.88,3.5,2021-11-01
11,荆州中通,75822704616370,湖北,1.78,3.5,2021-11-01
12,荆州中通,75822704556838,河南,1.82,3.5,2021-11-01
13,荆州中通,75822704556894,湖北,1.75,3.5,2021-11-01
14,荆州中通,75822704556879,河南,1.95,3.5,2021-11-01
15,荆州中通,75822704556853,河南,1.5,3.5,2021-11-01
16,荆州中通,75822704615876,河南,1.84,3.5,2021-11-01
17,荆州中通,75822704616326,河南,1.81,3.5,2021-11-01
18,荆州中通,75822704616306,河南,1.88,3.5,2021-11-01
19,荆州中通,78236138098751,湖北,1.52,3.5,2021-11-01
20,荆州中通,75822704616296,河南,1.84,3.5,2021-11-01
21,荆州中通,75822704556866,河南,1.87,3.5,2021-11-01
22,荆州中通,75822704556846,河南,1.84,3.5,2021-11-01
23,荆州中通,75822704616382,河南,1.79,3.5,2021-11-01
